DIVISION_MOA,DIVISION_PETREL,MOA_FACILITY,PETREL_FACILITY,FACILITY_TYPE_MOA,FACILITY_TYPE_PETREL,BED_SIZE_MOA,BED_SIZE_PETREL
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000017509,P_0000014248,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000014539,P_0000014798,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000085312,P_0000014798,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 4: 201-400
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000033562,P_0000016925,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 4: 201-400
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000038260,P_0000016925,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000020920,P_0000017385,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 4: 201-400
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000090517,P_0000017640,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 3: 101-200
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000018739,P_0000018836,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 3: 101-200
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000038230,P_0000019035,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 7: 1001+,CATEGORY 6: 601-1000
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000038242,P_0000019035,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 6: 601-1000
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000041224,P_0000019234,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
PACIFIC,PACIFIC,M_0000084052,P_0000020440,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
PACIFIC,PACIFIC,M_0000005449,P_0000020920,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
PACIFIC,PACIFIC,M_0000008092,P_0000021177,CLINIC,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 1: 0-50
PACIFIC,PACIFIC,M_0000084025,P_0000021199,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000020869,P_0000021378,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
PACIFIC,PACIFIC,M_0000083971,P_0000021465,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
PACIFIC,PACIFIC,M_0000084037,P_0000021690,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
PACIFIC,PACIFIC,M_0000084034,P_0000021716,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
PACIFIC,PACIFIC,M_0000002584,P_0000021905,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
PACIFIC,PACIFIC,M_0000079825,P_0000021933,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
PACIFIC,PACIFIC,M_0000054262,P_0000022122,HOSPITAL,CRITICAL ACCESS,CATEGORY 1: 0-50,CATEGORY 1: 0-50
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000068680,P_0000022184,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,CATEGORY 4: 201-400
PACIFIC,PACIFIC,M_0000042958,P_0000022920,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 3: 101-200
PACIFIC,PACIFIC,M_0000002461,P_0000022929,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
PACIFIC,PACIFIC,M_0000000118,P_0000023316,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 5: 401-600
PACIFIC,PACIFIC,M_0000002401,P_0000023882,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000006601,P_0000024132,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000021298,P_0000024132,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000002740,P_0000024440,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000020857,P_0000024641,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 4: 201-400
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000021271,P_0000024712,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072190,P_0000025341,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 3: 101-200
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000040564,P_0000025450,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000009811,P_0000025462,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000040549,P_0000025745,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
PACIFIC,PACIFIC,M_0000002425,P_0000026430,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 2: 51-100
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000067615,P_0000026640,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
PACIFIC,PACIFIC,M_0000002521,P_0000026666,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 5: 401-600
PACIFIC,PACIFIC,M_0000002491,P_0000026709,HOSPITAL,CRITICAL ACCESS,CATEGORY 1: 0-50,CATEGORY 1: 0-50
PACIFIC,PACIFIC,M_0000077452,P_0000026729,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 3: 101-200
PACIFIC,PACIFIC,M_0000002911,P_0000026751,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
PACIFIC,PACIFIC,M_0000002371,P_0000026947,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
PACIFIC,PACIFIC,M_0000002422,P_0000026947,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 3: 101-200
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071596,P_0000027342,MEDICAL GROUP,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000085591,P_0000027342,NON HOSPITAL,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000005323,P_0000027378,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000016168,P_0000027378,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 4: 201-400
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000006166,P_0000027431,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 5: 401-600
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000010057,P_0000027688,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,CATEGORY 6: 601-1000
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000005827,P_0000028048,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000007966,P_0000028053,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 5: 401-600,CATEGORY 5: 401-600
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000015661,P_0000028053,HOSPITAL,ACADEMIC HEALTH SYSTEM,UNKNOWN,CATEGORY 5: 401-600
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072085,P_0000028058,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000040096,P_0000028837,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000006703,P_0000028887,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072031,P_0000028915,MEDICAL GROUP,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000085591,P_0000028915,NON HOSPITAL,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072139,P_0000028927,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 4: 201-400
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072163,P_0000028975,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000090448,P_0000029081,HOSPITAL,CRITICAL ACCESS,CATEGORY 3: 101-200,CATEGORY 1: 0-50
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071866,P_0000029188,MEDICAL GROUP,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000085591,P_0000029188,NON HOSPITAL,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000006205,P_0000029255,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 4: 201-400
NEW ENGLAND,NEW ENGLAND,M_0000025588,P_0000029323,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 3: 101-200
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071491,P_0000029406,MEDICAL GROUP,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000085621,P_0000029406,NON HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000080812,P_0000029421,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000079186,P_0000029526,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 5: 401-600
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000016489,P_0000029843,REHABILITATION CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 2: 51-100
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000098077,P_0000030002,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071527,P_0000030475,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 3: 101-200
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000098077,P_0000030540,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000098092,P_0000030540,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000079186,P_0000030604,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 1: 0-50
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000021316,P_0000030929,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000020839,P_0000030974,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 7: 1001+,CATEGORY 6: 601-1000
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000029551,P_0000030974,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 6: 601-1000
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000005320,P_0000031198,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000007099,P_0000031271,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 4: 201-400,CATEGORY 4: 201-400
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000067615,P_0000031715,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000068467,P_0000032331,HOSPITAL,CRITICAL ACCESS,CATEGORY 1: 0-50,CATEGORY 1: 0-50
NEW ENGLAND,NEW ENGLAND,M_0000040534,P_0000032353,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 2: 51-100
NEW ENGLAND,NEW ENGLAND,M_0000025687,P_0000032362,NON HOSPITAL,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
NEW ENGLAND,NEW ENGLAND,M_0000094543,P_0000032362,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071833,P_0000032476,MEDICAL GROUP,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000040546,P_0000032588,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000005824,P_0000032661,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000057418,P_0000032661,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 4: 201-400
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000057421,P_0000032661,REHABILITATION CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 4: 201-400
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000057451,P_0000032661,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 4: 201-400
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000053545,P_0000032880,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000096835,P_0000033034,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 4: 201-400
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000000064,P_0000033111_,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 2: 51-100
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072163,P_0000033223,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 3: 101-200
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000059059,P_0000033267,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000090448,P_0000033297,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000077521,P_0000033357,MEDICAL GROUP,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072136,P_0000033410,MEDICAL GROUP,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000040099,P_0000033563,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 5: 401-600
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000084403,P_0000033575,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000068533,P_0000033596,HOSPITAL,CRITICAL ACCESS,CATEGORY 1: 0-50,CATEGORY 1: 0-50
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000006169,P_0000033874,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 5: 401-600
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000034951,P_0000033874,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 5: 401-600
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000035056,P_0000033874,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 5: 401-600
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000035071,P_0000033874,SURGI CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 5: 401-600
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000035113,P_0000033874,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 5: 401-600
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000035122,P_0000033874,IMAGING CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 5: 401-600
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000035125,P_0000033874,NURSING HOME,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 5: 401-600
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000035140,P_0000033874,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 5: 401-600
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000035530,P_0000033874,CLINIC,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 5: 401-600
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000035560,P_0000033874,IMAGING CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 5: 401-600
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000050494,P_0000033874,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 5: 401-600
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000091912,P_0000033896,REHABILITATION CENTER,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000025336,P_0000034023,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000006406,P_0000034215,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000040129,P_0000034248,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000042961,P_0000034265,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000039748,P_0000034552,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 4: 201-400
NEW ENGLAND,NEW ENGLAND,M_0000024772,P_0000034605,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000006097,P_0000034730,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
NEW ENGLAND,NEW ENGLAND,M_0000007474,P_0000035030,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000025501,P_0000035180,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 4: 201-400
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000006475,P_0000035185,HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000005293,P_0000035256,HOSPITAL,BEHAVIORAL HEALTH - INPATIENT,CATEGORY 2: 51-100,NON-ACUTE/UNKNOWN
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000000064,P_0000035497,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000059056,P_0000035662,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000000043,P_0000035689,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 4: 201-400
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000013735,P_0000036214,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,CATEGORY 6: 601-1000
