FINAL_DECISION,PCT,TOTAL_MATCHES,PCT_ALL_PETREL_MATCHES,PCT_ALL_MOA_MATCHES,AVG_SKUS_PER_QUARTER,AVG_QUARTERS_PER_SKU,DIVISION_MOA,DIVISION_PETREL,MOA_FACILITY,MOA_FACILITY_OF_INTEREST,FAC_COMB,PETREL_FACILITY,PETREL_FACILITY_OF_INTEREST,FACILITY_TYPE_MOA,FACILITY_TYPE_PETREL,BED_SIZE_MOA,BED_SIZE_PETREL,TOTAL_MATCHES,QUARTER_MATCHES,MATCHES_WITH,MATCHES_WITHOUT,DECISION,SCORE,FACILITY_IDS_MOA,FACILITY_IDS_PETREL
,58.46153846,3,0.055556,0.018182,1,1.5,SOUTH ATLANTIC,EAST NORTH CENTRAL,M_0000004168,M_0000004168,                 M_0000004168P_0000029168,P_0000029168,P_0000029168,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 3: 101-200,3,3,130,76,KEEP,1.5,"['M_0000004168', 'M_0000028897']",['P_0000029168']
n,100.3464594,3,0.003141,0.069767,1,1.5,SOUTH ATLANTIC,EAST SOUTH CENTRAL,M_0000004651_,M_0000004651,                 M_0000004651_P_0000060994_,P_0000060994_,P_0000060994,HOSPITAL,SURGERY CENTER,CATEGORY 7: 1001+,NON-ACUTE/UNKNOWN,3,3,106506,106875,REMOVE,1.5,['M_0000004651'],"['P_0000060994', 'P_AGGREGATED_SOUTH ATLANTIC_ACADEMIC HEALTH SYSTEM']"
n,100.6197566,3,0.428571,0.001688,3,1,EAST NORTH CENTRAL,PACIFIC,M_0000005254_,M_0000005254,                 M_0000005254_P_0000075839_,P_0000075839_,P_0000075839,HOSPITAL,GENERAL MEDICAL AND SURGICAL,UNKNOWN,CATEGORY 3: 101-200,3,1,39693,39939,REMOVE,3,"['M_0000005254', 'M_0000029761']",['P_0000075839']
,65.30612245,3,0.000439,0.06383,1,1.5,PACIFIC,PACIFIC,M_0000005449,M_0000005449,                 M_0000005449P_0000053216,P_0000053216,P_0000053216,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 1: 0-50,3,3,245,160,KEEP,1.5,"['M_0000002425', 'M_0000005449']",['P_0000053216']
,106.9650026,3,0.000439,0.06383,1,1.5,PACIFIC,PACIFIC,M_0000005449,M_0000005449,                 M_0000005449P_0000053216,P_0000053216,P_0000053216,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 1: 0-50,3,3,49318,52753,REMOVE,1.5,['M_0000005449'],"['P_0000053216', 'P_0000020920']"
,89.83050847,3,0.057692,0.007282,1.5,1,MIDDLE ATLANTIC,WEST NORTH CENTRAL,M_0000005551,M_0000005551,                 M_0000005551P_0000037285,P_0000037285,P_0000037285,SURGI CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 4: 201-400,3,2,236,212,KEEP,1.5,['M_0000005551'],"['P_0000037285', 'P_0000046696']"
,86.01694915,3,0.057692,0.016129,1.5,1,MIDDLE ATLANTIC,EAST NORTH CENTRAL,M_0000005551,M_0000005551,                 M_0000005551P_0000046696,P_0000046696,P_0000046696,SURGI CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 2: 51-100,3,2,236,203,KEEP,1.5,['M_0000005551'],"['P_0000037285', 'P_0000046696']"
n,100.6944518,3,0.003279,0.056604,1.5,1,EAST SOUTH CENTRAL,EAST NORTH CENTRAL,M_0000005854_,M_0000005854,                 M_0000005854_P_0000046332_,P_0000046332_,P_0000046332,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 2: 51-100,3,2,93887,94539,REMOVE,1.5,['M_0000005854'],"['P_0000046332', 'P_AGGREGATED_EAST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL']"
,103.6461473,3,0.053571,0.000171,1,1.5,PACIFIC,PACIFIC,M_0000006688,M_0000006688,                 M_0000006688P_0000043099,P_0000043099,P_0000043099,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 4: 201-400,3,3,136034,140994,REMOVE,1.5,"['M_0000002518', 'M_0000006688']",['P_0000043099']
,47.84688995,3,0.078947,0.005495,1,1.5,EAST NORTH CENTRAL,SOUTH ATLANTIC,M_0000006922,M_0000006922,                 M_0000006922P_0000017640,P_0000017640,P_0000017640,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200,3,3,209,100,KEEP,1.5,"['M_0000006922', 'M_0000090517']",['P_0000017640']
n,0,3,0.050847,0.008876,1,1.5,EAST NORTH CENTRAL,PACIFIC,M_0000006955_,M_0000006955,                 M_0000006955_P_0000012979_,P_0000012979_,P_0000012979,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200,3,3,111,0,KEEP,1.5,['M_0000006955'],['P_0000012979']
,98.85353299,3,0.055556,0.006036,1.5,1,NEW ENGLAND,EAST SOUTH CENTRAL,M_0000007573,M_0000007573,                 M_0000007573P_0000074404,P_0000074404,P_0000074404,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 3: 101-200,3,2,8548,8450,KEEP,1.5,"['M_0000007573', 'M_0000079186']",['P_0000074404']
,107.0774905,3,0.054545,0.000276,1.5,1,PACIFIC,EAST SOUTH CENTRAL,M_0000008107,M_0000008107,                 M_0000008107P_0000077862,P_0000077862,P_0000077862,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 2: 51-100,3,2,57478,61546,REMOVE,1.5,"['M_0000008107', 'M_0000020422', 'M_0000058678']",['P_0000077862']
,81.63265306,3,0.026549,0.050847,1.5,1.5,PACIFIC,SOUTH ATLANTIC,M_0000008470,M_0000008470,                 M_0000008470P_0000030726,P_0000030726,P_0000030726,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 1: 0-50,3,2,49,40,KEEP,2.25,"['M_0000000370', 'M_0000008470', 'M_0000037489', 'M_0000065761', 'M_0000066271', 'M_0000066718', 'M_0000069022']",['P_0000030726']
,102.8708576,3,0.058824,0.000227,1.5,1,PACIFIC,EAST NORTH CENTRAL,M_0000008776,M_0000008776,                 M_0000008776P_0000162986,P_0000162986,P_0000162986,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 4: 201-400,NON-ACUTE/UNKNOWN,3,2,118954,122369,REMOVE,1.5,"['M_0000000892', 'M_0000008776', 'M_0000053488']",['P_0000162986']
n,0,3,0.012048,0.088235,1,3,PACIFIC,SOUTH ATLANTIC,M_0000009466_,M_0000009466,                 M_0000009466_P_0000045123_,P_0000045123_,P_0000045123,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 1: 0-50,3,3,37,0,KEEP,3,['M_0000009466'],['P_0000045123']
,100.3176364,3,0.010714,0.052632,1.5,1,EAST SOUTH CENTRAL,EAST NORTH CENTRAL,M_0000010921,M_0000010921,                 M_0000010921P_0000164352,P_0000164352,P_0000164352,HOSPITAL,FREESTANDING HEALTHCARE LAB,CATEGORY 4: 201-400,NON-ACUTE/UNKNOWN,3,2,19834,19897,REMOVE,1.5,['M_0000010921'],"['P_0000164352', 'P_AGGREGATED_EAST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL']"
y,0,3,0.054545,0.019737,1,1.5,EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000011530,M_0000011530,                 M_0000011530P_0000046324,P_0000046324,P_0000046324,HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN,3,3,154,0,KEEP,1.5,['M_0000011530'],['P_0000046324']
n,0,3,0.051724,0.007692,3,1,EAST NORTH CENTRAL,EAST SOUTH CENTRAL,M_0000011890_,M_0000011890,                 M_0000011890_P_0000039475_,P_0000039475_,P_0000039475,HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 4: 201-400,NON-ACUTE/UNKNOWN,3,1,142,0,KEEP,3,['M_0000011890'],['P_0000039475']
,81.48148148,3,0.075,0.004011,1.5,1,PACIFIC,EAST NORTH CENTRAL,M_0000012256,M_0000012256,                 M_0000012256P_0000041311,P_0000041311,P_0000041311,SURGI CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 4: 201-400,3,2,270,220,KEEP,1.5,"['M_0000012256', 'M_0000015133', 'M_0000019360', 'M_0000019678', 'M_0000037117']",['P_0000041311']
,89.31623932,3,0.075,0.004011,1.5,1,PACIFIC,EAST NORTH CENTRAL,M_0000012256,M_0000012256,                 M_0000012256P_0000041311,P_0000041311,P_0000041311,SURGI CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 4: 201-400,3,2,234,209,KEEP,1.5,['M_0000012256'],"['P_0000041311', 'P_0000064931']"
n,28.20512821,3,0.075,0.000164,1.5,1,PACIFIC,NEW ENGLAND,M_0000012256_,M_0000012256,                 M_0000012256_P_0000064931_,P_0000064931_,P_0000064931,SURGI CENTER,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,CATEGORY 4: 201-400,3,2,234,66,KEEP,1.5,['M_0000012256'],"['P_0000041311', 'P_0000064931']"
n,101.3302583,3,0.075,0.000164,1.5,1,PACIFIC,NEW ENGLAND,M_0000012256_,M_0000012256,                 M_0000012256_P_0000064931_,P_0000064931_,P_0000064931,SURGI CENTER,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,CATEGORY 4: 201-400,3,2,173876,176189,REMOVE,1.5,"['M_0000000421', 'M_0000004792', 'M_0000012256']",['P_0000064931']
n,0,3,0.3,0.005329,1,1.5,EAST NORTH CENTRAL,MIDDLE ATLANTIC,M_0000013030_,M_0000013030,                 M_0000013030_P_0000038928_,P_0000038928_,P_0000038928,CLINICAL LAB,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,CATEGORY 5: 401-600,3,3,56,0,KEEP,1.5,['M_0000013030'],['P_0000038928']
,94.55782313,3,0.065217,0.021127,1,3,MOUNTAIN,WEST SOUTH CENTRAL,M_0000013630,M_0000013630,                 M_0000013630P_0000089683,P_0000089683,P_0000089683,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN,3,3,147,139,KEEP,3,"['M_0000013630', 'M_0000020458', 'M_0000052768', 'M_0000078052']",['P_0000089683']
,83.33333333,3,0.088235,0.003077,1,3,MOUNTAIN,EAST NORTH CENTRAL,M_0000013942,M_0000013942,                 M_0000013942P_0000044257,P_0000044257,P_0000044257,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 1: 0-50,3,3,36,30,KEEP,3,['M_0000013942'],"['P_0000082109', 'P_0000044257', 'P_0000016925', 'P_0000084937']"
,99.68777877,3,0.088235,0.003077,1,3,MOUNTAIN,EAST NORTH CENTRAL,M_0000013942,M_0000013942,                 M_0000013942P_0000044257,P_0000044257,P_0000044257,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 1: 0-50,3,3,8968,8940,KEEP,3,"['M_0000013942', 'M_0000096433']",['P_0000044257']
,94.44444444,3,0.088235,0.000898,1,3,MOUNTAIN,EAST NORTH CENTRAL,M_0000013942,M_0000013942,                 M_0000013942P_0000082109,P_0000082109,P_0000082109,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 4: 201-400,3,3,36,34,KEEP,3,['M_0000013942'],"['P_0000082109', 'P_0000044257', 'P_0000016925', 'P_0000084937']"
,100.6501123,3,0.088235,0.000898,1,3,MOUNTAIN,EAST NORTH CENTRAL,M_0000013942,M_0000013942,                 M_0000013942P_0000082109,P_0000082109,P_0000082109,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 4: 201-400,3,3,50299,50626,REMOVE,3,"['M_0000000529', 'M_0000013942']",['P_0000082109']
,70.03087925,3,0.6,8.00E-05,1,1.5,MOUNTAIN,MOUNTAIN,M_0000014023,M_0000014023,                 M_0000014023P_AGGREGATED_MOUNTAIN_CRITICAL ACCESS,P_AGGREGATED_MOUNTAIN_CRITICAL ACCESS,P_AGGREGATED_MOUNTAIN_CRITICAL ACCESS,HOSPITAL,CRITICAL ACCESS,CATEGORY 1: 0-50,AGGREGATED,3,3,6153,4309,KEEP,1.5,"['M_0000014023', 'M_0000014485']",['P_AGGREGATED_MOUNTAIN_CRITICAL ACCESS']
n,64.40677966,3,0.006329,0.058824,1,1.5,SOUTH ATLANTIC,EAST NORTH CENTRAL,M_0000014167_,M_0000014167,                 M_0000014167_P_0000009530_,P_0000009530_,P_0000009530,HOSPITAL,SURGERY CENTER,CATEGORY 4: 201-400,NON-ACUTE/UNKNOWN,3,3,177,114,KEEP,1.5,"['M_0000014167', 'M_0000039577']",['P_0000009530']
n,100.2594034,3,0.006329,0.058824,1,1.5,SOUTH ATLANTIC,EAST NORTH CENTRAL,M_0000014167_,M_0000014167,                 M_0000014167_P_0000009530_,P_0000009530_,P_0000009530,HOSPITAL,SURGERY CENTER,CATEGORY 4: 201-400,NON-ACUTE/UNKNOWN,3,3,33924,34012,REMOVE,1.5,['M_0000014167'],"['P_0000009530', 'P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL']"
,84.84848485,3,0.016949,0.1,1,3,SOUTH ATLANTIC,EAST NORTH CENTRAL,M_0000014197,M_0000014197,                 M_0000014197P_0000113500,P_0000113500,P_0000113500,HOSPITAL,AMBULATORY CARE CENTER,CATEGORY 3: 101-200,NON-ACUTE/UNKNOWN,3,3,66,56,KEEP,3,"['M_0000014197', 'M_0000025270', 'M_0000040534']",['P_0000113500']
,100.0266934,3,0.016949,0.1,1,3,SOUTH ATLANTIC,EAST NORTH CENTRAL,M_0000014197,M_0000014197,                 M_0000014197P_0000113500,P_0000113500,P_0000113500,HOSPITAL,AMBULATORY CARE CENTER,CATEGORY 3: 101-200,NON-ACUTE/UNKNOWN,3,3,14985,14989,REMOVE,3,['M_0000014197'],"['P_0000113500', 'P_AGGREGATED_SOUTH ATLANTIC_GENERAL MEDICAL AND SURGICAL']"
,78.24074074,3,0.085714,0.006494,1,3,MOUNTAIN,WEST SOUTH CENTRAL,M_0000014485,M_0000014485,                 M_0000014485P_0000043182,P_0000043182,P_0000043182,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 5: 401-600,3,3,216,169,KEEP,3,"['M_0000014485', 'M_0000035359']",['P_0000043182']
,105.019305,3,0.085714,0.006494,1,3,MOUNTAIN,WEST SOUTH CENTRAL,M_0000014485,M_0000014485,                 M_0000014485P_0000043182,P_0000043182,P_0000043182,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 5: 401-600,3,3,3626,3808,REMOVE,3,['M_0000014485'],"['P_0000030280', 'P_0000037320', 'P_0000033800', 'P_0000043182', 'P_AGGREGATED_MOUNTAIN_CRITICAL ACCESS']"
,102.7027027,3,0.085714,0.005848,1,3,MOUNTAIN,WEST NORTH CENTRAL,M_0000014485,M_0000014485,                 M_0000014485P_0000030280,P_0000030280,P_0000030280,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 5: 401-600,3,3,3626,3724,REMOVE,3,['M_0000014485'],"['P_0000030280', 'P_0000037320', 'P_0000033800', 'P_0000043182', 'P_AGGREGATED_MOUNTAIN_CRITICAL ACCESS']"
,101.8201875,3,0.085714,0.008646,1,3,MOUNTAIN,WEST NORTH CENTRAL,M_0000014485,M_0000014485,                 M_0000014485P_0000033800,P_0000033800,P_0000033800,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 3: 101-200,3,3,3626,3692,REMOVE,3,['M_0000014485'],"['P_0000030280', 'P_0000037320', 'P_0000033800', 'P_0000043182', 'P_AGGREGATED_MOUNTAIN_CRITICAL ACCESS']"
,102.2062879,3,0.085714,0.008824,1,3,MOUNTAIN,WEST NORTH CENTRAL,M_0000014485,M_0000014485,                 M_0000014485P_0000037320,P_0000037320,P_0000037320,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 3: 101-200,3,3,3626,3706,REMOVE,3,['M_0000014485'],"['P_0000030280', 'P_0000037320', 'P_0000033800', 'P_0000043182', 'P_AGGREGATED_MOUNTAIN_CRITICAL ACCESS']"
y,0,3,0.058824,0.021898,1,1.5,MOUNTAIN,MOUNTAIN,M_0000015364,M_0000015364,                 M_0000015364P_0000163881,P_0000163881,P_0000163881,HOSPITAL,SURGERY CENTER,CATEGORY 2: 51-100,NON-ACUTE/UNKNOWN,3,3,129,0,KEEP,1.5,['M_0000015364'],['P_0000163881']
,101.7391304,3,0.081081,0.022059,1,3,SOUTH ATLANTIC,WEST SOUTH CENTRAL,M_0000016231,M_0000016231,                 M_0000016231P_0000082303,P_0000082303,P_0000082303,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,NON-ACUTE/UNKNOWN,3,3,115,117,REMOVE,3,"['M_0000010408', 'M_0000016231', 'M_0000029770', 'M_0000068872', 'M_0000081427', 'M_0000093118']",['P_0000082303']
n,0,3,0.071429,0.005435,1.5,1,MIDDLE ATLANTIC,EAST NORTH CENTRAL,M_0000016471_,M_0000016471,                 M_0000016471_P_0000034056_,P_0000034056_,P_0000034056,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 3: 101-200,3,2,72,0,KEEP,1.5,['M_0000016471'],['P_0000034056']
,102.5925105,3,0.013043,0.12,1,3,PACIFIC,WEST SOUTH CENTRAL,M_0000016945,M_0000016945,                 M_0000016945P_0000082816,P_0000082816,P_0000082816,HOSPITAL,PHYSICIAN(S),CATEGORY 3: 101-200,NON-ACUTE/UNKNOWN,3,3,18052,18520,REMOVE,3,['M_0000016945'],"['P_0000082816', 'P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']"
,101.0583146,3,0.054545,0.000306,1.5,1,EAST NORTH CENTRAL,WEST SOUTH CENTRAL,M_0000017116,M_0000017116,                 M_0000017116P_0000045756,P_0000045756,P_0000045756,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 6: 601-1000,3,2,83907,84795,REMOVE,1.5,"['M_0000017116', 'M_0000043246', 'M_0000043474']",['P_0000045756']
,106.2331619,3,0.054545,0.000306,1.5,1,EAST NORTH CENTRAL,WEST SOUTH CENTRAL,M_0000017116,M_0000017116,                 M_0000017116P_0000045756,P_0000045756,P_0000045756,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 6: 601-1000,3,2,8166,8675,REMOVE,1.5,['M_0000017116'],"['P_0000045756', 'P_AGGREGATED_EAST NORTH CENTRAL_HEALTHCARE CORPORATE OFFICE', 'P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL']"
n,0,3,0.75,0.004127,1,3,EAST NORTH CENTRAL,AGGREGATED,M_0000017206_,M_0000017206,                 M_0000017206_P_0000049669_,P_0000049669_,P_0000049669,MEDICAL GROUP,HEALTHCARE WAREHOUSE/SUPPLYCTR,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN,3,3,27,0,KEEP,3,['M_0000017206'],['P_0000049669']
,58.71559633,3,0.103448,0.002988,1,1.5,MOUNTAIN,MIDDLE ATLANTIC,M_0000017833,M_0000017833,                 M_0000017833P_0000041041,P_0000041041,P_0000041041,SURGI CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 3: 101-200,3,3,109,64,KEEP,1.5,['M_0000017833'],"['P_0000041041', 'P_0000034590']"
,99.37072874,3,0.103448,0.002988,1,1.5,MOUNTAIN,MIDDLE ATLANTIC,M_0000017833,M_0000017833,                 M_0000017833P_0000041041,P_0000041041,P_0000041041,SURGI CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 3: 101-200,3,3,14779,14686,KEEP,1.5,"['M_0000017833', 'M_0000090748']",['P_0000041041']
n,0,3,0.142857,0.010638,3,1,MIDDLE ATLANTIC,EAST NORTH CENTRAL,M_0000018067_,M_0000018067,                 M_0000018067_P_0000047044_,P_0000047044_,P_0000047044,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 4: 201-400,3,1,31,0,KEEP,3,['M_0000018067'],['P_0000047044']
