,DIVISION_MOA,DIVISION_PETREL,MOA_FACILITY_OF_INTEREST,PETREL_FACILITY_OF_INTEREST,FACILITY_TYPE_MOA,FACILITY_TYPE_PETREL,BED_SIZE_MOA,BED_SIZE_PETREL,TOTAL_MATCHES,QUARTER_MATCHES,MATCHES_WITH,MATCHES_WITHOUT,PCT,DECISION,PCT_ALL_PETREL_MATCHES,PCT_ALL_MOA_MATCHES,AVG_SKUS_PER_QUARTER,AVG_QUARTERS_PER_SKU,SCORE,FACILITY_IDS_MOA,FACILITY_IDS_PETREL
10,PACIFIC,PACIFIC,M_0000020908,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED,114,16,311164,290939,93.50021210679898,KEEP,0.202847,0.003028,7.125,1.753846,12.49615275,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
11,PACIFIC,PACIFIC,M_0000021952,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED,89,19,311164,278964,89.65175920093584,KEEP,0.454082,0.002364,4.684211,1.589286,7.444550963346,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
12,PACIFIC,PACIFIC,M_0000026194,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED,9,8,311164,300195,96.47484927562314,KEEP,0.059603,0.000239,1.125,1.8,2.025,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
13,PACIFIC,PACIFIC,M_0000034015,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED,38,8,311164,294302,94.58099265981926,KEEP,0.447059,0.001009,4.75,1.652174,7.8478265,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
14,PACIFIC,PACIFIC,M_0000040519,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 7: 1001+,AGGREGATED,152,14,311164,304716,97.92778084868429,KEEP,0.119029,0.004038,10.857143,1.924188,20.891184274884,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
15,PACIFIC,PACIFIC,M_0000072880,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED,78,6,311164,302010,97.05814297283747,KEEP,0.5,0.002072,13.0,2.0,26.0,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
16,PACIFIC,PACIFIC,M_0000078928,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED,4,4,311164,309527,99.4739108637246,KEEP,0.137931,0.000106,1.0,4.0,4.0,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
17,PACIFIC,PACIFIC,M_0000078982,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED,6,4,311164,308254,99.06480184082992,KEEP,0.142857,0.000159,1.5,1.2,1.8,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
18,PACIFIC,PACIFIC,M_0000079018,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED,60,5,311164,302634,97.25868031006158,KEEP,0.451128,0.001594,12.0,2.4,28.8,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
19,PACIFIC,PACIFIC,M_0000080893,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED,31,14,311164,292253,93.9224974611459,KEEP,0.274336,0.000824,2.214286,1.47619,3.26870685034,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
20,PACIFIC,PACIFIC,M_0000081010,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED,4,4,311164,308705,99.20974148680439,KEEP,0.129032,0.000106,1.0,2.0,2.0,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
21,PACIFIC,PACIFIC,M_0000099406,P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL,UNKNOWN,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED,3,1,311164,309578,99.4903009345554,KEEP,0.333333,8e-05,3.0,1.0,3.0,"['M_0000000094', 'M_0000001744', 'M_0000014050', 'M_0000014143', 'M_0000016588', 'M_0000016945', 'M_0000020908', 'M_0000021952', 'M_0000026194', 'M_0000034015', 'M_0000040519', 'M_0000072880', 'M_0000078928', 'M_0000078982', 'M_0000079018', 'M_0000080893', 'M_0000081010', 'M_0000099406']",['P_AGGREGATED_PACIFIC_GENERAL MEDICAL AND SURGICAL']
22,PACIFIC,PACIFIC,M_0000000118,P_0000023316,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 5: 401-600,7869,14,61587,37,0.06007761378212934,KEEP,0.974851,0.977273,562.071429,3.66,2057.18143014,"['M_0000000118', 'M_0000083143']",['P_0000023316']
23,EAST NORTH CENTRAL,PACIFIC,M_0000083143,P_0000023316,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 5: 401-600,5,1,61587,62969,102.2439800607271,REMOVE,0.5,0.000621,5.0,1.0,5.0,"['M_0000000118', 'M_0000083143']",['P_0000023316']
24,WEST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000000217,P_0000095064,HOSPITAL,CRITICAL ACCESS,CATEGORY 3: 101-200,CATEGORY 1: 0-50,3,2,182,84,46.15384615384615,KEEP,0.008523,0.1,1.5,1.5,2.25,"['M_0000000217', 'M_0000089758']",['P_0000095064']
25,WEST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000089758,P_0000095064,HOSPITAL,CRITICAL ACCESS,CATEGORY 2: 51-100,CATEGORY 1: 0-50,3,2,182,206,113.18681318681318,REMOVE,0.15,0.1,1.5,1.5,2.25,"['M_0000000217', 'M_0000089758']",['P_0000095064']
26,EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000000337,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED,61,2,267495,260909,97.53789790463374,KEEP,0.338889,0.00162,30.5,1.418605,43.2674525,"['M_0000000337', 'M_0000002638', 'M_0000004363', 'M_0000006850', 'M_0000010084', 'M_0000011185', 'M_0000014677', 'M_0000015727', 'M_0000017116', 'M_0000017842', 'M_0000019114', 'M_0000021586', 'M_0000033565', 'M_0000034207', 'M_0000034246', 'M_0000034261', 'M_0000037702', 'M_0000038029', 'M_0000038044', 'M_0000038059', 'M_0000070390', 'M_0000070456', 'M_0000075415', 'M_0000079306', 'M_0000079309', 'M_0000081322']",['P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL']
27,WEST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000002638,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED,200,15,267495,261015,97.57752481354791,KEEP,0.05618,0.005313,13.333333,2.773261,36.976812408913,"['M_0000000337', 'M_0000002638', 'M_0000004363', 'M_0000006850', 'M_0000010084', 'M_0000011185', 'M_0000014677', 'M_0000015727', 'M_0000017116', 'M_0000017842', 'M_0000019114', 'M_0000021586', 'M_0000033565', 'M_0000034207', 'M_0000034246', 'M_0000034261', 'M_0000037702', 'M_0000038029', 'M_0000038044', 'M_0000038059', 'M_0000070390', 'M_0000070456', 'M_0000075415', 'M_0000079306', 'M_0000079309', 'M_0000081322']",['P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL']
28,EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000004363,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED,13,3,267495,265557,99.27550047664442,KEEP,0.619048,0.000345,4.333333,1.083333,4.694442638889,"['M_0000000337', 'M_0000002638', 'M_0000004363', 'M_0000006850', 'M_0000010084', 'M_0000011185', 'M_0000014677', 'M_0000015727', 'M_0000017116', 'M_0000017842', 'M_0000019114', 'M_0000021586', 'M_0000033565', 'M_0000034207', 'M_0000034246', 'M_0000034261', 'M_0000037702', 'M_0000038029', 'M_0000038044', 'M_0000038059', 'M_0000070390', 'M_0000070456', 'M_0000075415', 'M_0000079306', 'M_0000079309', 'M_0000081322']",['P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL']
29,EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000006850,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED,378,10,267495,209785,78.42576496756949,KEEP,0.731141,0.010041,37.8,1.608511,60.8017158,"['M_0000000337', 'M_0000002638', 'M_0000004363', 'M_0000006850', 'M_0000010084', 'M_0000011185', 'M_0000014677', 'M_0000015727', 'M_0000017116', 'M_0000017842', 'M_0000019114', 'M_0000021586', 'M_0000033565', 'M_0000034207', 'M_0000034246', 'M_0000034261', 'M_0000037702', 'M_0000038029', 'M_0000038044', 'M_0000038059', 'M_0000070390', 'M_0000070456', 'M_0000075415', 'M_0000079306', 'M_0000079309', 'M_0000081322']",['P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL']
30,EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000010084,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED,91,12,267495,257349,96.20703190713846,KEEP,0.541667,0.002417,7.583333,1.540984,11.685794819672,"['M_0000000337', 'M_0000002638', 'M_0000004363', 'M_0000006850', 'M_0000010084', 'M_0000011185', 'M_0000014677', 'M_0000015727', 'M_0000017116', 'M_0000017842', 'M_0000019114', 'M_0000021586', 'M_0000033565', 'M_0000034207', 'M_0000034246', 'M_0000034261', 'M_0000037702', 'M_0000038029', 'M_0000038044', 'M_0000038059', 'M_0000070390', 'M_0000070456', 'M_0000075415', 'M_0000079306', 'M_0000079309', 'M_0000081322']",['P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL']
31,EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000011185,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED,191,5,267495,253797,94.8791566197499,KEEP,0.373047,0.005074,38.2,1.591667,60.8016794,"['M_0000000337', 'M_0000002638', 'M_0000004363', 'M_0000006850', 'M_0000010084', 'M_0000011185', 'M_0000014677', 'M_0000015727', 'M_0000017116', 'M_0000017842', 'M_0000019114', 'M_0000021586', 'M_0000033565', 'M_0000034207', 'M_0000034246', 'M_0000034261', 'M_0000037702', 'M_0000038029', 'M_0000038044', 'M_0000038059', 'M_0000070390', 'M_0000070456', 'M_0000075415', 'M_0000079306', 'M_0000079309', 'M_0000081322']",['P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL']
32,EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000014677,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,AGGREGATED,45,18,267495,252321,94.32737060505804,KEEP,0.432692,0.001195,2.5,1.451613,3.6290325,"['M_0000000337', 'M_0000002638', 'M_0000004363', 'M_0000006850', 'M_0000010084', 'M_0000011185', 'M_0000014677', 'M_0000015727', 'M_0000017116', 'M_0000017842', 'M_0000019114', 'M_0000021586', 'M_0000033565', 'M_0000034207', 'M_0000034246', 'M_0000034261', 'M_0000037702', 'M_0000038029', 'M_0000038044', 'M_0000038059', 'M_0000070390', 'M_0000070456', 'M_0000075415', 'M_0000079306', 'M_0000079309', 'M_0000081322']",['P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL']
33,EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000015727,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED,62,9,267495,260209,97.27621077029477,KEEP,0.439716,0.001647,6.888889,1.631579,11.239766625731,"['M_0000000337', 'M_0000002638', 'M_0000004363', 'M_0000006850', 'M_0000010084', 'M_0000011185', 'M_0000014677', 'M_0000015727', 'M_0000017116', 'M_0000017842', 'M_0000019114', 'M_0000021586', 'M_0000033565', 'M_0000034207', 'M_0000034246', 'M_0000034261', 'M_0000037702', 'M_0000038029', 'M_0000038044', 'M_0000038059', 'M_0000070390', 'M_0000070456', 'M_0000075415', 'M_0000079306', 'M_0000079309', 'M_0000081322']",['P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL']
34,EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000017116,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED,12,1,267495,268559,100.39776444419522,REMOVE,0.218182,0.000319,12.0,1.058824,12.705888,"['M_0000000337', 'M_0000002638', 'M_0000004363', 'M_0000006850', 'M_0000010084', 'M_0000011185', 'M_0000014677', 'M_0000015727', 'M_0000017116', 'M_0000017842', 'M_0000019114', 'M_0000021586', 'M_0000033565', 'M_0000034207', 'M_0000034246', 'M_0000034261', 'M_0000037702', 'M_0000038029', 'M_0000038044', 'M_0000038059', 'M_0000070390', 'M_0000070456', 'M_0000075415', 'M_0000079306', 'M_0000079309', 'M_0000081322']",['P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL']
35,EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000017842,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED,387,13,267495,243158,90.90188601656105,KEEP,0.75,0.010281,29.769231,3.023438,90.005424236178,"['M_0000000337', 'M_0000002638', 'M_0000004363', 'M_0000006850', 'M_0000010084', 'M_0000011185', 'M_0000014677', 'M_0000015727', 'M_0000017116', 'M_0000017842', 'M_0000019114', 'M_0000021586', 'M_0000033565', 'M_0000034207', 'M_0000034246', 'M_0000034261', 'M_0000037702', 'M_0000038029', 'M_0000038044', 'M_0000038059', 'M_0000070390', 'M_0000070456', 'M_0000075415', 'M_0000079306', 'M_0000079309', 'M_0000081322']",['P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL']
36,EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000019114,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED,47,9,267495,249755,93.36810033832408,KEEP,0.303226,0.001249,5.222222,1.46875,7.6701385625,"['M_0000000337', 'M_0000002638', 'M_0000004363', 'M_0000006850', 'M_0000010084', 'M_0000011185', 'M_0000014677', 'M_0000015727', 'M_0000017116', 'M_0000017842', 'M_0000019114', 'M_0000021586', 'M_0000033565', 'M_0000034207', 'M_0000034246', 'M_0000034261', 'M_0000037702', 'M_0000038029', 'M_0000038044', 'M_0000038059', 'M_0000070390', 'M_0000070456', 'M_0000075415', 'M_0000079306', 'M_0000079309', 'M_0000081322']",['P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL']
37,EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000021586,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED,10,5,267495,265500,99.25419166713397,KEEP,0.526316,0.000266,2.0,1.25,2.5,"['M_0000000337', 'M_0000002638', 'M_0000004363', 'M_0000006850', 'M_0000010084', 'M_0000011185', 'M_0000014677', 'M_0000015727', 'M_0000017116', 'M_0000017842', 'M_0000019114', 'M_0000021586', 'M_0000033565', 'M_0000034207', 'M_0000034246', 'M_0000034261', 'M_0000037702', 'M_0000038029', 'M_0000038044', 'M_0000038059', 'M_0000070390', 'M_0000070456', 'M_0000075415', 'M_0000079306', 'M_0000079309', 'M_0000081322']",['P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL']
